area,perimetro,compacteness,Lkernel,wkernel,asymetry,lkgroove,class
15.26,14.84,871,5763,3312,2221,5.22,kama
14.88,14.57,0.8811,5554,3333,1018,4956,kama
14.29,14.09,905,5291,3337,2699,4825,kama
13.84,13.94,0.8955,5324,3379,2259,4805,kama
16.14,14.99,0.9034,5658,3562,1355,5175,kama
14.38,14.21,0.8951,5386,3312,2462,4956,kama
14.69,14.49,0.8799,5563,3259,3586,5219,kama
14.11,14.1,0.8911,5.42,3302,2.7,5,kama
16.63,15.46,0.8747,6053,3465,2.04,5877,kama
16.44,15.25,888,5884,3505,1969,5533,kama
15.26,14.85,0.8696,5714,3242,4543,5314,kama
14.03,14.16,0.8796,5438,3201,1717,5001,kama
13.89,14.02,888,5439,3199,3986,4738,kama
13.78,14.06,0.8759,5479,3156,3136,4872,kama
13.74,14.05,0.8744,5482,3114,2932,4825,kama
14.59,14.28,0.8993,5351,3333,4185,4781,kama
13.99,13.83,0.9183,5119,3383,5234,4781,kama
15.69,14.75,0.9058,5527,3514,1599,5046,kama
14.7,14.21,0.9153,5205,3466,1767,4649,kama
12.72,13.57,0.8686,5226,3049,4102,4914,kama
14.16,14.4,0.8584,5658,3129,3072,5176,kama
14.11,14.26,0.8722,5.52,3168,2688,5219,kama
15.88,14.9,0.8988,5618,3507,0.7651,5091,kama
12.08,13.23,0.8664,5099,2936,1415,4961,kama
15.01,14.76,0.8657,5789,3245,1791,5001,kama
16.19,15.16,0.8849,5833,3421,903,5307,kama
13.02,13.76,0.8641,5395,3026,3373,4825,kama
12.74,13.67,0.8564,5395,2956,2504,4869,kama
14.11,14.18,882,5541,3221,2754,5038,kama
13.45,14.02,0.8604,5516,3065,3531,5097,kama
13.16,13.82,0.8662,5454,2975,0.8551,5056,kama
15.49,14.94,0.8724,5757,3371,3412,5228,kama
14.09,14.41,0.8529,5717,3186,3.92,5299,kama
13.94,14.17,0.8728,5585,3.15,2124,5012,kama
15.05,14.68,0.8779,5712,3328,2129,5.36,kama
16.12,15,0.9,5709,3485,2.27,5443,kama
16.2,15.27,0.8734,5826,3464,2823,5527,kama
17.08,15.38,0.9079,5832,3683,2956,5484,kama
14.8,14.52,0.8823,5656,3288,3112,5309,kama
14.28,14.17,0.8944,5397,3298,6685,5001,kama
13.54,13.85,0.8871,5348,3156,2587,5178,kama
13.5,13.85,0.8852,5351,3158,2249,5176,kama
13.16,13.55,0.9009,5138,3201,2461,4783,kama
15.5,14.86,882,5877,3396,4711,5528,kama
15.11,14.54,0.8986,5579,3462,3128,5.18,kama
13.8,14.04,0.8794,5376,3155,1.56,4961,kama
15.36,14.76,0.8861,5701,3393,1367,5132,kama
14.99,14.56,0.8883,5.57,3377,2958,5175,kama
14.79,14.52,0.8819,5545,3291,2704,5111,kama
14.86,14.67,0.8676,5678,3258,2129,5351,kama
14.43,14.4,0.8751,5585,3272,3975,5144,kama
15.78,14.91,0.8923,5674,3434,5593,5136,kama
14.49,14.61,0.8538,5715,3113,4116,5396,kama
14.33,14.28,0.8831,5504,3199,3328,5224,kama
14.52,14.6,0.8557,5741,3113,1481,5487,kama
15.03,14.77,0.8658,5702,3212,1933,5439,kama
14.46,14.35,0.8818,5388,3377,2802,5044,kama
14.92,14.43,0.9006,5384,3412,1142,5088,kama
15.38,14.77,0.8857,5662,3419,1999,5222,kama
12.11,13.47,0.8392,5159,3032,1502,4519,kama
11.42,12.86,0.8683,5008,2.85,2.7,4607,kama
11.23,12.63,884,4902,2879,2269,4703,kama
12.36,13.19,0.8923,5076,3042,3.22,4605,kama
13.22,13.84,868,5395,3.07,4157,5088,kama
12.78,13.57,0.8716,5262,3026,1176,4782,kama
12.88,13.5,0.8879,5139,3119,2352,4607,kama
14.34,14.37,0.8726,5.63,3.19,1313,5.15,kama
14.01,14.29,0.8625,5609,3158,2217,5132,kama
14.37,14.39,0.8726,5569,3153,1464,5.3,kama
12.73,13.75,0.8458,5412,2882,3533,5067,kama
17.63,15.98,0.8673,6191,3561,4076,6.06,rosa
