1dezena,2dezena,3dezena,4dezena,5dezena,6dezena,
27,40,33,6,39,60,1
51,60,1,11,59,26,1
50,44,12,55,52,54,1
15,52,40,36,51,42,1
22,8,30,15,47,25,1
12,50,36,6,35,40,1
38,45,35,37,5,51,1
46,9,43,41,49,29,1
29,18,2,15,10,39,1
34,30,41,11,27,26,1
21,31,56,55,45,27,1
1,25,4,14,21,51,1
46,20,4,43,47,10,1
1,41,3,18,16,42,1
27,48,17,19,26,22,1
41,53,38,4,31,15,1
7,50,53,16,41,34,1
44,46,31,14,40,42,1
2,11,37,36,48,6,1
36,21,13,59,60,30,1
41,2,53,5,13,27,1
43,15,41,51,16,31,1
6,41,4,37,12,42,1
60,39,31,38,6,50,1
7,45,18,13,29,31,1
54,36,12,4,33,24,1
13,47,60,32,49,10,1
36,17,28,16,54,30,1
1,6,57,29,48,7,1
35,2,51,14,49,39,1
53,17,50,23,54,48,1
30,19,57,41,56,47,1
44,8,5,15,18,10,1
54,22,48,34,23,53,1
10,34,4,6,25,40,1
1,38,48,28,11,33,1
42,59,30,58,50,22,1
11,39,9,5,8,7,1
21,46,6,22,13,31,1
35,55,2,43,34,42,1
54,1,15,37,46,42,1
36,3,35,56,18,34,1
34,16,46,15,42,59,1
1,10,30,33,38,6,1
5,4,37,40,60,14,1
45,37,29,4,43,18,1
50,15,17,2,14,59,1
32,35,22,9,56,11,1
3,7,9,10,31,34,1
47,59,1,23,36,43,1
36,58,9,10,56,24,1
41,55,24,59,33,40,1
49,1,22,47,44,50,1
59,1,2,40,51,24,1
34,56,24,1,49,8,1
44,42,13,8,24,32,1
52,25,42,45,35,57,1
54,20,3,18,42,24,1
57,25,45,28,51,26,1
38,60,13,7,55,46,1
20,58,10,59,57,5,1
27,35,40,1,6,17,1
31,21,40,39,56,5,1
9,29,18,7,14,39,1
49,58,53,39,38,29,1
44,22,31,54,34,1,1
3,29,10,16,23,27,1
25,46,51,18,13,30,1
56,38,21,20,3,5,1
59,28,47,60,22,5,1
50,56,41,12,32,37,1
56,36,4,44,46,53,1
48,44,46,4,18,9,1
43,8,2,28,33,12,1
59,48,1,7,41,14,1
60,12,57,58,33,2,1
13,32,6,51,40,24,1
57,58,18,31,43,52,1
5,33,14,29,44,22,1
51,30,49,25,37,46,1
36,49,37,35,24,21,1
40,22,13,29,48,28,1
56,58,34,53,25,45,1
15,37,27,12,60,51,1
24,17,4,54,30,10,1
48,55,52,43,5,15,1
26,49,25,18,31,34,1
10,11,56,40,41,6,1
25,51,5,18,4,28,1
39,6,29,60,51,23,1
50,37,51,27,29,25,1
6,7,41,39,29,55,1
25,49,30,43,47,45,1
51,49,46,40,36,26,1
28,4,1,45,53,3,1
50,28,35,24,2,14,1
37,27,44,30,38,23,1
15,26,12,33,48,13,1
35,10,15,58,36,3,1
60,8,32,28,46,30,1
