1dezena,2dezena,3dezena,4dezena,5dezena,6dezena,classe
27,40,33,6,39,60,1
51,60,1,11,59,26,2
50,44,12,55,52,54,3
15,52,40,36,51,42,1
22,8,30,15,47,25,4
12,50,36,6,35,40,1
38,45,35,37,5,51,5
46,9,43,41,49,29,0
29,18,2,15,10,39,2
34,30,41,11,27,26,1
21,31,56,55,45,27,5
1,25,4,14,21,51,4
46,20,4,43,47,10,0
1,41,3,18,16,42,3
27,48,17,19,26,22,3
41,53,38,4,31,15,1
7,50,53,16,41,34,1
44,46,31,14,40,42,2
2,11,37,36,48,6,1
36,21,13,59,60,30,0
41,2,53,5,13,27,5
43,15,41,51,16,31,5
6,41,4,37,12,42,3
60,39,31,38,6,50,5
7,45,18,13,29,31,1
54,36,12,4,33,24,2
13,47,60,32,49,10,1
36,17,28,16,54,30,1
1,6,57,29,48,7,1
35,2,51,14,49,39,1
53,17,50,23,54,48,0
30,19,57,41,56,47,4
44,8,5,15,18,10,2
54,22,48,34,23,53,5
10,34,4,6,25,40,2
1,38,48,28,11,33,5
42,59,30,58,50,22,3
11,39,9,5,8,7,2
21,46,6,22,13,31,3
35,55,2,43,34,42,3
54,1,15,37,46,42,0
36,3,35,56,18,34,5
34,16,46,15,42,59,4
1,10,30,33,38,6,4
5,4,37,40,60,14,4
45,37,29,4,43,18,2
50,15,17,2,14,59,2
32,35,22,9,56,11,1
3,7,9,10,31,34,4
47,59,1,23,36,43,2
36,58,9,10,56,24,1
41,55,24,59,33,40,3
49,1,22,47,44,50,4
59,1,2,40,51,24,0
34,56,24,1,49,8,1
44,42,13,8,24,32,2
52,25,42,45,35,57,5
54,20,3,18,42,24,2
57,25,45,28,51,26,0
38,60,13,7,55,46,1
20,58,10,59,57,5,3
27,35,40,1,6,17,2
31,21,40,39,56,5,0
9,29,18,7,14,39,2
49,58,53,39,38,29,5
44,22,31,54,34,1,0
3,29,10,16,23,27,4
25,46,51,18,13,30,5
56,38,21,20,3,5,2
59,28,47,60,22,5,0
50,56,41,12,32,37,1
56,36,4,44,46,53,2
48,44,46,4,18,9,2
43,8,2,28,33,12,0
