alcohol,malicacid,magnesium,nonflavonoidsphenol,proline,class
14.23,1.71,127,0.28,1065,1
13.2,1.78,100,0.26,1050,1
13.16,2.36,101,0.3,1185,1
14.37,1.95,113,0.24,1480,1
13.24,2.59,118,0.39,735,1
14.2,1.76,112,0.34,1450,1
14.39,1.87,96,0.3,1290,1
14.06,2.15,121,0.31,1295,1
14.83,1.64,97,0.29,1045,1
13.86,1.35,98,0.22,1045,1
14.1,2.16,105,0.22,1510,1
14.12,1.48,95,0.26,1280,1
13.75,1.73,89,0.29,1320,1
14.75,1.73,91,0.43,1150,1
14.38,1.87,102,0.29,1547,1
13.63,1.81,112,0.3,1310,1
14.3,1.92,120,0.33,1280,1
13.83,1.57,115,0.4,1130,1
14.19,1.59,108,0.32,1680,1
13.64,3.1,116,0.17,845,1
14.06,1.63,126,0.24,780,1
12.93,3.8,102,0.25,770,1
13.71,1.86,101,0.27,1035,1
12.85,1.6,95,0.26,1015,1
13.5,1.81,96,0.28,845,1
13.05,2.05,124,0.47,830,1
13.39,1.77,93,0.34,1195,1
13.3,1.72,94,0.27,1285,1
13.87,1.9,107,0.37,915,1
14.02,1.68,96,0.26,1035,1
13.73,1.5,101,0.29,1285,1
13.58,1.66,106,0.22,1515,1
13.68,1.83,104,0.42,990,1
13.76,1.53,132,0.5,1235,1
13.51,1.8,110,0.29,1095,1
13.48,1.81,100,0.26,920,1
13.28,1.64,110,0.34,880,1
13.05,1.65,98,0.29,1105,1
13.07,1.5,98,0.28,1020,1
14.22,3.99,128,0.2,760,1
13.56,1.71,117,0.34,795,1
13.41,3.84,90,0.27,1035,1
13.88,1.89,101,0.17,1095,1
13.24,3.98,103,0.32,680,1
13.05,1.77,107,0.28,885,1
14.21,4.04,111,0.3,1080,1
14.38,3.59,102,0.27,1065,1
13.9,1.68,101,0.21,985,1
14.1,2.02,103,0.32,1060,1
13.94,1.73,108,0.32,1260,1
13.05,1.73,92,0.17,1150,1
13.2,1.78,100,0.26,1050,1
13.16,2.36,101,0.3,1185,1
14.37,1.95,113,0.24,1480,1
13.24,2.59,118,0.39,735,1
14.2,1.76,112,0.34,1450,1
14.39,1.87,96,0.3,1290,1
14.06,2.15,121,0.31,1295,1
14.83,1.64,97,0.29,1045,1
13.86,1.35,98,0.22,1045,1
14.1,2.16,105,0.22,1510,1
14.12,1.48,95,0.26,1280,1
13.75,1.73,89,0.29,1320,1
14.75,1.73,91,0.43,1150,1
14.38,1.87,102,0.29,1547,1
13.63,1.81,112,0.3,1310,1
14.3,1.92,120,0.33,1280,1
13.83,1.57,115,0.4,1130,1
14.19,1.59,108,0.32,1680,1
13.64,3.1,116,0.17,845,1
14.06,1.63,126,0.24,780,1
12.93,3.8,102,0.25,770,1
13.71,1.86,101,0.27,1035,1
12.85,1.6,95,0.26,1015,1
13.5,1.81,96,0.28,845,1
13.05,2.05,124,0.47,830,1
13.39,1.77,93,0.34,1195,1
13.3,1.72,94,0.27,1285,1
13.87,1.9,107,0.37,915,1
14.02,1.68,96,0.26,1035,1
13.73,1.5,101,0.29,1285,1
13.58,1.66,106,0.22,1515,1
13.68,1.83,104,0.42,990,1
13.76,1.53,132,0.5,1235,1
13.51,1.8,110,0.29,1095,1
13.48,1.81,100,0.26,920,1
13.28,1.64,110,0.34,880,1
13.05,1.65,98,0.29,1105,1
13.07,1.5,98,0.28,1020,1
14.22,3.99,128,0.2,760,1
13.56,1.71,117,0.34,795,1
13.41,3.84,90,0.27,1035,1
13.88,1.89,101,0.17,1095,1
13.24,3.98,103,0.32,680,1
13.05,1.77,107,0.28,885,1
14.21,4.04,111,0.3,1080,1
14.38,3.59,102,0.27,1065,1
13.9,1.68,101,0.21,985,1
14.1,2.02,103,0.32,1060,1
13.94,1.73,108,0.32,1260,1
13.83,1.65,94,0.22,1265,1
13.82,1.75,111,0.32,1190,1
13.77,1.9,115,0.39,1375,1
13.74,1.67,118,0.21,1060,1
13.56,1.73,116,0.2,1120,1
14.22,1.7,118,0.26,970,1
13.29,1.97,102,0.31,1270,1
13.72,1.43,108,0.19,1285,1
12.37,0.94,88,0.28,520,2
12.33,1.1,101,0.63,680,2
12.64,1.36,100,0.53,450,2
13.67,1.25,94,0.32,630,2
12.37,1.13,87,0.19,420,2
12.17,1.45,104,0.45,355,2
12.37,1.21,98,0.37,678,2
13.11,1.01,78,0.26,502,2
12.37,1.17,78,0.27,510,2
13.34,0.94,110,0.55,750,2
12.21,1.19,151,0.14,718,2
12.29,1.61,103,0.37,870,2
13.86,1.51,86,0.21,410,2
13.49,1.66,87,0.27,472,2
12.99,1.67,139,0.21,985,2
11.96,1.09,101,0.13,886,2
11.66,1.88,97,0.34,428,2
13.03,0.9,86,0.24,392,2
11.84,2.89,112,0.43,500,2
12.33,0.99,136,0.35,750,2
12.7,3.87,101,0.43,463,2
12,0.92,86,0.3,278,2
12.72,1.81,86,0.26,714,2
12.08,1.13,78,0.4,630,2
13.05,3.86,85,0.61,515,2
11.84,0.89,94,0.22,520,2
12.67,0.98,99,0.3,450,2
12.16,1.61,90,0.43,495,2
11.65,1.67,88,0.4,562,2
11.64,2.06,84,0.48,680,2
12.08,1.33,70,0.42,625,2
12.08,1.83,81,0.52,480,2
12,1.51,86,0.5,450,2
12.69,1.53,80,0.58,495,2
12.29,2.83,88,0.25,290,2
11.62,1.99,98,0.17,345,2
12.47,1.52,162,0.32,937,2
11.81,2.12,134,0.14,625,2
12.29,1.41,85,0.29,428,2
12.37,1.07,88,0.24,660,2
12.29,3.17,88,0.45,406,2
12.08,2.08,97,0.26,710,2
12.6,1.34,88,0.29,562,2
12.34,2.45,98,0.34,438,2
11.82,1.72,86,0.37,415,2
12.51,1.73,85,0.32,672,2
12.42,2.55,90,0.66,315,2
12.25,1.73,80,0.37,510,2
12.72,1.75,84,0.48,488,2
12.22,1.29,92,0.39,312,2
11.61,1.35,94,0.29,680,2
11.46,3.74,107,0.24,562,2
12.52,2.43,88,0.26,325,2
11.76,2.68,103,0.6,607,2
11.41,0.74,88,0.42,434,2
12.08,1.39,84,0.43,385,2
11.03,1.51,85,0.52,407,2
11.82,1.47,86,0.3,495,2
12.42,1.61,108,0.34,345,2
12.77,3.43,80,0.43,372,2
12,3.43,87,0.37,564,2
11.45,2.4,96,0.32,625,2
13.67,1.25,94,0.32,630,2
12.37,1.13,87,0.19,420,2
12.17,1.45,104,0.45,355,2
